RM,LSTAT,PTRATIO,MEDV
6.575,4.98,15.3,504000.0
6.421,9.14,17.8,453600.0
7.1850000000000005,4.03,17.8,728700.0
6.998,2.94,18.7,701400.0
7.147,5.33,18.7,760200.0
6.43,5.21,18.7,602700.0
6.0120000000000005,12.43,15.200000000000001,480900.0
6.172,19.150000000000002,15.200000000000001,569100.0
5.631,29.93,15.200000000000001,346500.0
6.0040000000000004,17.1,15.200000000000001,396900.0
6.377,20.45,15.200000000000001,315000.0
6.009,13.27,15.200000000000001,396900.0
5.889,15.71,15.200000000000001,455700.0
5.949,8.26,21.0,428400.0
6.096,10.26,21.0,382200.0
5.8340000000000005,8.47,21.0,417900.0
5.9350000000000005,6.58,21.0,485100.0
5.99,14.67,21.0,367500.0
5.456,11.69,21.0,424200.0
5.727,11.28,21.0,382200.0
5.57,21.02,21.0,285600.0
5.965,13.83,21.0,411600.0
6.142,18.72,21.0,319200.0
5.813,19.88,21.0,304500.0
5.924,16.3,21.0,327600.0
5.599,16.51,21.0,291900.0
5.813,14.81,21.0,348600.0
6.047,17.28,21.0,310800.0
6.495,12.8,21.0,386400.0
6.674,11.98,21.0,441000.0
5.713,22.6,21.0,266700.0
6.072,13.040000000000001,21.0,304500.0
5.95,27.71,21.0,277200.0
5.7010000000000005,18.35,21.0,275100.0
6.096,20.34,21.0,283500.0
5.933,9.68,19.200000000000003,396900.0
5.841,11.41,19.200000000000003,420000.0
5.8500000000000005,8.77,19.200000000000003,441000.0
5.966,10.13,19.200000000000003,518700.0
6.595,4.32,18.3,646800.0
7.024,1.98,18.3,732900.0
6.7700000000000005,4.84,17.900000000000002,558600.0
6.1690000000000005,5.8100000000000005,17.900000000000002,531300.0
6.211,7.44,17.900000000000002,518700.0
6.069,9.55,17.900000000000002,445200.0
5.682,10.21,17.900000000000002,405300.0
5.7860000000000005,14.15,17.900000000000002,420000.0
6.03,18.8,17.900000000000002,348600.0
5.399,30.810000000000002,17.900000000000002,302400.0
5.602,16.2,17.900000000000002,407400.0
5.963,13.450000000000001,16.8,413700.0
6.115,9.43,16.8,430500.0
6.511,5.28,16.8,525000.0
5.998,8.43,16.8,491400.0
5.888,14.8,21.1,396900.0
7.2490000000000006,4.8100000000000005,17.900000000000002,743400.0
6.383,5.7700000000000005,17.3,518700.0
6.816,3.95,15.100000000000001,663600.0
6.1450000000000005,6.86,19.700000000000003,489300.0
5.9270000000000005,9.22,19.700000000000003,411600.0
5.7410000000000005,13.15,19.700000000000003,392700.0
5.966,14.44,19.700000000000003,336000.0
6.456,6.73,19.700000000000003,466200.0
6.7620000000000005,9.5,19.700000000000003,525000.0
7.104,8.05,18.6,693000.0
6.29,4.67,16.1,493500.0
5.787,10.24,16.1,407400.0
5.878,8.1,18.900000000000002,462000.0
5.594,13.09,18.900000000000002,365400.0
5.885,8.790000000000001,18.900000000000002,438900.0
6.417,6.72,19.200000000000003,508200.0
5.961,9.88,19.200000000000003,455700.0
6.065,5.5200000000000005,19.200000000000003,478800.0
6.245,7.54,19.200000000000003,491400.0
6.273,6.78,18.7,506100.0
6.2860000000000005,8.94,18.7,449400.0
6.279,11.97,18.7,420000.0
6.140000000000001,10.27,18.7,436800.0
6.232,12.34,18.7,445200.0
5.8740000000000006,9.1,18.7,426300.0
6.727,5.29,19.0,588000.0
6.619,7.22,19.0,501900.0
6.3020000000000005,6.72,19.0,520800.0
6.167,7.51,19.0,480900.0
6.389,9.620000000000001,18.5,501900.0
6.63,6.53,18.5,558600.0
6.015000000000001,12.86,18.5,472500.0
6.121,8.44,18.5,466200.0
7.007000000000001,5.5,17.8,495600.0
7.079,5.7,17.8,602700.0
6.417,8.81,17.8,474600.0
6.405,8.200000000000001,17.8,462000.0
6.442,8.16,18.2,480900.0
6.211,6.21,18.2,525000.0
6.2490000000000006,10.59,18.2,432600.0
6.625,6.65,18.0,596400.0
6.163,11.34,18.0,449400.0
8.069,4.21,18.0,812700.0
7.82,3.5700000000000003,18.0,919800.0
7.416,6.19,18.0,697200.0
6.727,9.42,20.900000000000002,577500.0
6.781000000000001,7.67,20.900000000000002,556500.0
6.405,10.63,20.900000000000002,390600.0
6.1370000000000005,13.44,20.900000000000002,405300.0
6.167,12.33,20.900000000000002,422100.0
5.851,16.47,20.900000000000002,409500.0
5.836,18.66,20.900000000000002,409500.0
6.127,14.09,20.900000000000002,428400.0
6.474,12.27,20.900000000000002,415800.0
6.229,15.55,20.900000000000002,407400.0
6.195,13.0,20.900000000000002,455700.0
6.715,10.16,17.8,478800.0
5.913,16.21,17.8,394800.0
6.0920000000000005,17.09,17.8,392700.0
6.2540000000000004,10.450000000000001,17.8,388500.0
5.928,15.76,17.8,384300.0
6.176,12.040000000000001,17.8,445200.0
6.021,10.3,17.8,403200.0
5.872,15.370000000000001,17.8,428400.0
5.731,13.61,17.8,405300.0
5.87,14.370000000000001,19.1,462000.0
6.0040000000000004,14.27,19.1,426300.0
5.961,17.93,19.1,430500.0
5.856,25.41,19.1,363300.0
5.8790000000000004,17.580000000000002,19.1,394800.0
5.986,14.81,19.1,449400.0
5.613,27.26,19.1,329700.0
5.6930000000000005,17.19,21.200000000000003,340200.0
6.431,15.39,21.200000000000003,378000.0
5.6370000000000005,18.34,21.200000000000003,300300.0
6.458,12.600000000000001,21.200000000000003,403200.0
6.3260000000000005,12.26,21.200000000000003,411600.0
6.372,11.120000000000001,21.200000000000003,483000.0
5.822,15.030000000000001,21.200000000000003,386400.0
5.757000000000001,17.31,21.200000000000003,327600.0
6.335,16.96,21.200000000000003,380100.0
5.942,16.900000000000002,21.200000000000003,365400.0
6.454,14.59,21.200000000000003,359100.0
5.857,21.32,21.200000000000003,279300.0
6.151,18.46,21.200000000000003,373800.0
6.174,24.16,21.200000000000003,294000.0
5.019,34.410000000000004,21.200000000000003,302400.0
5.4030000000000005,26.82,14.700000000000001,281400.0
5.468,26.42,14.700000000000001,327600.0
4.9030000000000005,29.29,14.700000000000001,247800.0
6.13,27.8,14.700000000000001,289800.0
5.628,16.65,14.700000000000001,327600.0
4.926,29.53,14.700000000000001,306600.0
5.186,28.32,14.700000000000001,373800.0
5.597,21.45,14.700000000000001,323400.0
6.122,14.100000000000001,14.700000000000001,451500.0
5.404,13.280000000000001,14.700000000000001,411600.0
5.0120000000000005,12.120000000000001,14.700000000000001,321300.0
5.7090000000000005,15.790000000000001,14.700000000000001,407400.0
6.1290000000000004,15.120000000000001,14.700000000000001,357000.0
6.152,15.02,14.700000000000001,327600.0
5.272,16.14,14.700000000000001,275100.0
6.9430000000000005,4.59,14.700000000000001,867300.0
6.066,6.43,14.700000000000001,510300.0
6.51,7.390000000000001,14.700000000000001,489300.0
6.25,5.5,14.700000000000001,567000.0
5.854,11.64,14.700000000000001,476700.0
6.101,9.81,14.700000000000001,525000.0
5.877,12.14,14.700000000000001,499800.0
6.319,11.100000000000001,14.700000000000001,499800.0
6.402,11.32,14.700000000000001,468300.0
5.875,14.43,14.700000000000001,365400.0
5.88,12.030000000000001,14.700000000000001,401100.0
5.572,14.69,16.6,485100.0
6.416,9.040000000000001,16.6,495600.0
5.859,9.64,16.6,474600.0
6.546,5.33,16.6,617400.0
6.0200000000000005,10.11,16.6,487200.0
6.315,6.29,16.6,516600.0
6.86,6.92,16.6,627900.0
6.98,5.04,17.8,781200.0
7.765000000000001,7.5600000000000005,17.8,835800.0
6.144,9.450000000000001,17.8,760200.0
7.155,4.82,17.8,795900.0
6.563,5.68,17.8,682500.0
5.604,13.98,17.8,554400.0
6.1530000000000005,13.15,17.8,621600.0
6.782,6.68,15.200000000000001,672000.0
6.556,4.5600000000000005,15.200000000000001,625800.0
7.1850000000000005,5.39,15.200000000000001,732900.0
6.9510000000000005,5.1000000000000005,15.200000000000001,777000.0
6.739,4.69,15.200000000000001,640500.0
7.178,2.87,15.200000000000001,764400.0
6.800000000000001,5.03,15.600000000000001,653100.0
6.604,4.38,15.600000000000001,611100.0
7.287,4.08,12.600000000000001,699300.0
7.107,8.61,12.600000000000001,636300.0
7.274,6.62,12.600000000000001,726600.0
6.9750000000000005,4.5600000000000005,17.0,732900.0
7.135,4.45,17.0,690900.0
6.162,7.43,14.700000000000001,506100.0
7.61,3.11,14.700000000000001,888300.0
7.853,3.81,14.700000000000001,1018500.0
5.891,10.870000000000001,18.6,474600.0
6.3260000000000005,10.97,18.6,512400.0
5.783,18.06,18.6,472500.0
6.064,14.66,18.6,512400.0
5.344,23.09,18.6,420000.0
5.96,17.27,18.6,455700.0
5.404,23.98,18.6,405300.0
5.807,16.03,18.6,470400.0
6.375,9.38,18.6,590100.0
5.412,29.55,18.6,497700.0
6.182,9.47,18.6,525000.0
5.888,13.51,16.400000000000002,489300.0
6.642,9.69,16.400000000000002,602700.0
5.9510000000000005,17.92,16.400000000000002,451500.0
6.373,10.5,16.400000000000002,483000.0
6.9510000000000005,9.71,17.400000000000002,560700.0
6.164,21.46,17.400000000000002,455700.0
6.8790000000000004,9.93,17.400000000000002,577500.0
6.618,7.6000000000000005,17.400000000000002,632100.0
8.266,4.14,17.400000000000002,940800.0
8.040000000000001,3.13,17.400000000000002,789600.0
7.163,6.36,17.400000000000002,663600.0
7.686,3.92,17.400000000000002,980700.0
6.5520000000000005,3.7600000000000002,17.400000000000002,661500.0
5.981,11.65,17.400000000000002,510300.0
7.412,5.25,17.400000000000002,665700.0
8.337,2.47,17.400000000000002,875700.0
8.247,3.95,17.400000000000002,1014300.0
6.726,8.05,17.400000000000002,609000.0
6.086,10.88,17.400000000000002,504000.0
6.631,9.540000000000001,17.400000000000002,527100.0
7.3580000000000005,4.73,17.400000000000002,661500.0
6.481,6.36,16.6,497700.0
6.606,7.37,16.6,489300.0
6.897,11.38,16.6,462000.0
6.095,12.4,16.6,422100.0
6.3580000000000005,11.22,16.6,466200.0
6.393,5.19,16.6,497700.0
5.593,12.5,19.1,369600.0
5.605,18.46,19.1,388500.0
6.1080000000000005,9.16,19.1,510300.0
6.226,10.15,19.1,430500.0
6.433,9.52,19.1,514500.0
6.718,6.5600000000000005,19.1,550200.0
6.487,5.9,19.1,512400.0
6.438,3.59,19.1,520800.0
6.957,3.5300000000000002,19.1,621600.0
8.259,3.54,19.1,898800.0
6.1080000000000005,6.57,16.400000000000002,459900.0
5.876,9.25,16.400000000000002,438900.0
7.454,3.11,15.9,924000.0
7.333,7.79,13.0,756000.0
6.8420000000000005,6.9,13.0,632100.0
7.203,9.59,13.0,709800.0
7.5200000000000005,7.26,13.0,905100.0
8.398,5.91,13.0,1024800.0
7.327,11.25,13.0,651000.0
7.206,8.1,13.0,766500.0
5.5600000000000005,10.450000000000001,13.0,478800.0
7.014,14.790000000000001,13.0,644700.0
7.47,3.16,13.0,913500.0
5.92,13.65,18.6,434700.0
5.856,13.0,18.6,443100.0
6.24,6.59,18.6,529200.0
6.538,7.73,18.6,512400.0
7.691,6.58,18.6,739200.0
6.758,3.5300000000000002,17.6,680400.0
6.854,2.98,17.6,672000.0
7.267,6.05,17.6,697200.0
6.8260000000000005,4.16,17.6,695100.0
6.482,7.19,17.6,611100.0
6.812,4.8500000000000005,14.9,737100.0
7.82,3.7600000000000002,14.9,953400.0
6.968,4.59,14.9,743400.0
7.6450000000000005,3.0100000000000002,14.9,966000.0
7.088,7.8500000000000005,15.3,676200.0
6.453,8.23,15.3,462000.0
6.23,12.93,18.2,422100.0
6.2090000000000005,7.140000000000001,16.6,487200.0
6.315,7.6000000000000005,16.6,468300.0
6.565,9.51,16.6,520800.0
6.861,3.33,19.200000000000003,598500.0
7.148000000000001,3.56,19.200000000000003,783300.0
6.63,4.7,19.200000000000003,585900.0
6.127,8.58,16.0,501900.0
6.009,10.4,16.0,455700.0
6.678,6.2700000000000005,16.0,600600.0
6.549,7.390000000000001,16.0,569100.0
5.79,15.84,16.0,426300.0
6.345,4.97,14.8,472500.0
7.041,4.74,14.8,609000.0
6.871,6.07,14.8,520800.0
6.59,9.5,16.1,462000.0
6.495,8.67,16.1,554400.0
6.982,4.86,16.1,695100.0
7.236,6.93,18.400000000000002,758100.0
6.6160000000000005,8.93,18.400000000000002,596400.0
7.42,6.47,18.400000000000002,701400.0
6.849,7.53,18.400000000000002,592200.0
6.635,4.54,18.400000000000002,478800.0
5.972,9.97,18.400000000000002,426300.0
4.973,12.64,18.400000000000002,338100.0
6.122,5.98,18.400000000000002,464100.0
6.023,11.72,18.400000000000002,407400.0
6.266,7.9,18.400000000000002,453600.0
6.567,9.28,18.400000000000002,499800.0
5.705,11.5,18.400000000000002,340200.0
5.914,18.330000000000002,18.400000000000002,373800.0
5.782,15.94,18.400000000000002,415800.0
6.382000000000001,10.36,18.400000000000002,485100.0
6.113,12.73,18.400000000000002,441000.0
6.426,7.2,19.6,499800.0
6.376,6.87,19.6,485100.0
6.041,7.7,19.6,428400.0
5.708,11.74,19.6,388500.0
6.415,6.12,19.6,525000.0
6.431,5.08,19.6,516600.0
6.312,6.15,19.6,483000.0
6.083,12.790000000000001,19.6,466200.0
5.868,9.97,16.900000000000002,405300.0
6.333,7.34,16.900000000000002,474600.0
6.144,9.09,16.900000000000002,415800.0
5.706,12.43,16.900000000000002,359100.0
6.031,7.83,16.900000000000002,407400.0
6.316,5.68,20.200000000000003,466200.0
6.3100000000000005,6.75,20.200000000000003,434700.0
6.037,8.01,20.200000000000003,443100.0
5.869,9.8,20.200000000000003,409500.0
5.8950000000000005,10.56,20.200000000000003,388500.0
6.059,8.51,20.200000000000003,432600.0
5.985,9.74,20.200000000000003,399000.0
5.968,9.290000000000001,20.200000000000003,392700.0
7.2410000000000005,5.49,15.5,686700.0
6.54,8.65,15.9,346500.0
6.696,7.18,17.6,501900.0
6.8740000000000006,4.61,17.6,655200.0
6.014,10.53,18.8,367500.0
5.898,12.67,18.8,361200.0
6.516,6.36,17.900000000000002,485100.0
6.635,5.99,17.0,514500.0
6.939,5.89,19.700000000000003,558600.0
6.49,5.98,19.700000000000003,480900.0
6.579,5.49,18.3,506100.0
5.884,7.79,18.3,390600.0
6.728,4.5,17.0,632100.0
5.663,8.05,22.0,382200.0
5.936,5.57,22.0,432600.0
6.212,17.6,20.200000000000003,373800.0
6.3950000000000005,13.27,20.200000000000003,455700.0
6.127,11.48,20.200000000000003,476700.0
6.112,12.67,20.200000000000003,474600.0
6.398000000000001,7.79,20.200000000000003,525000.0
6.251,14.19,20.200000000000003,417900.0
5.362,10.19,20.200000000000003,436800.0
5.803,14.64,20.200000000000003,352800.0
3.561,7.12,20.200000000000003,577500.0
4.963,14.0,20.200000000000003,459900.0
3.863,13.33,20.200000000000003,485100.0
4.906,34.77,20.200000000000003,289800.0
4.138,37.97,20.200000000000003,289800.0
7.313,13.44,20.200000000000003,315000.0
6.649,23.240000000000002,20.200000000000003,291900.0
6.7940000000000005,21.240000000000002,20.200000000000003,279300.0
6.38,23.69,20.200000000000003,275100.0
6.223,21.78,20.200000000000003,214200.0
6.968,17.21,20.200000000000003,218400.0
6.545,21.080000000000002,20.200000000000003,228900.0
5.5360000000000005,23.6,20.200000000000003,237300.0
5.5200000000000005,24.560000000000002,20.200000000000003,258300.0
4.368,30.63,20.200000000000003,184800.0
5.277,30.810000000000002,20.200000000000003,151200.0
4.652,28.28,20.200000000000003,220500.0
5.0,31.990000000000002,20.200000000000003,155400.0
4.88,30.62,20.200000000000003,214200.0
5.39,20.85,20.200000000000003,241500.0
5.713,17.11,20.200000000000003,317100.0
6.051,18.76,20.200000000000003,487200.0
5.0360000000000005,25.68,20.200000000000003,203700.0
6.1930000000000005,15.17,20.200000000000003,289800.0
5.8870000000000005,16.35,20.200000000000003,266700.0
6.471,17.12,20.200000000000003,275100.0
6.405,19.37,20.200000000000003,262500.0
5.747,19.92,20.200000000000003,178500.0
5.453,30.59,20.200000000000003,105000.0
5.852,29.97,20.200000000000003,132300.0
5.987,26.77,20.200000000000003,117600.0
6.343,20.32,20.200000000000003,151200.0
6.404,20.31,20.200000000000003,254100.0
5.349,19.77,20.200000000000003,174300.0
5.531,27.38,20.200000000000003,178500.0
5.683,22.98,20.200000000000003,105000.0
4.138,23.34,20.200000000000003,249900.0
5.6080000000000005,12.13,20.200000000000003,585900.0
5.617,26.400000000000002,20.200000000000003,361200.0
6.852,19.78,20.200000000000003,577500.0
5.757000000000001,10.11,20.200000000000003,315000.0
6.657,21.22,20.200000000000003,361200.0
4.628,34.37,20.200000000000003,375900.0
5.155,20.080000000000002,20.200000000000003,342300.0
4.519,36.980000000000004,20.200000000000003,147000.0
6.434,29.05,20.200000000000003,151200.0
6.782,25.79,20.200000000000003,157500.0
5.304,26.64,20.200000000000003,218400.0
5.957,20.62,20.200000000000003,184800.0
6.824,22.740000000000002,20.200000000000003,176400.0
6.4110000000000005,15.02,20.200000000000003,350700.0
6.006,15.700000000000001,20.200000000000003,298200.0
5.648,14.100000000000001,20.200000000000003,436800.0
6.103,23.29,20.200000000000003,281400.0
5.565,17.16,20.200000000000003,245700.0
5.896,24.39,20.200000000000003,174300.0
5.837,15.69,20.200000000000003,214200.0
6.202,14.52,20.200000000000003,228900.0
6.1930000000000005,21.52,20.200000000000003,231000.0
6.38,24.080000000000002,20.200000000000003,199500.0
6.348,17.64,20.200000000000003,304500.0
6.833,19.69,20.200000000000003,296100.0
6.425,12.030000000000001,20.200000000000003,338100.0
6.436,16.22,20.200000000000003,300300.0
6.208,15.17,20.200000000000003,245700.0
6.6290000000000004,23.27,20.200000000000003,281400.0
6.461,18.05,20.200000000000003,201600.0
6.152,26.45,20.200000000000003,182700.0
5.9350000000000005,34.02,20.200000000000003,176400.0
5.627,22.88,20.200000000000003,268800.0
5.8180000000000005,22.11,20.200000000000003,220500.0
6.406,19.52,20.200000000000003,359100.0
6.219,16.59,20.200000000000003,386400.0
6.485,18.85,20.200000000000003,323400.0
5.854,23.79,20.200000000000003,226800.0
6.4590000000000005,23.98,20.200000000000003,247800.0
6.341,17.79,20.200000000000003,312900.0
6.251,16.44,20.200000000000003,264600.0
6.1850000000000005,18.13,20.200000000000003,296100.0
6.417,19.31,20.200000000000003,273000.0
6.7490000000000006,17.44,20.200000000000003,281400.0
6.655,17.73,20.200000000000003,319200.0
6.297,17.27,20.200000000000003,338100.0
7.393,16.740000000000002,20.200000000000003,373800.0
6.728,18.71,20.200000000000003,312900.0
6.525,18.13,20.200000000000003,296100.0
5.976,19.01,20.200000000000003,266700.0
5.936,16.94,20.200000000000003,283500.0
6.301,16.23,20.200000000000003,312900.0
6.081,14.700000000000001,20.200000000000003,420000.0
6.7010000000000005,16.42,20.200000000000003,344400.0
6.376,14.65,20.200000000000003,371700.0
6.317,13.99,20.200000000000003,409500.0
6.513,10.290000000000001,20.200000000000003,424200.0
6.2090000000000005,13.22,20.200000000000003,449400.0
5.759,14.13,20.200000000000003,417900.0
5.952,17.150000000000002,20.200000000000003,399000.0
6.003,21.32,20.200000000000003,401100.0
5.926,18.13,20.200000000000003,401100.0
5.713,14.76,20.200000000000003,422100.0
6.167,16.29,20.200000000000003,417900.0
6.229,12.870000000000001,20.200000000000003,411600.0
6.437,14.36,20.200000000000003,487200.0
6.98,11.66,20.200000000000003,625800.0
5.4270000000000005,18.14,20.200000000000003,289800.0
6.162,24.1,20.200000000000003,279300.0
6.484,18.68,20.200000000000003,350700.0
5.304,24.91,20.200000000000003,252000.0
6.1850000000000005,18.03,20.200000000000003,306600.0
6.229,13.11,20.200000000000003,449400.0
6.242,10.74,20.200000000000003,483000.0
6.75,7.74,20.200000000000003,497700.0
7.061,7.01,20.200000000000003,525000.0
5.7620000000000005,10.42,20.200000000000003,457800.0
5.871,13.34,20.200000000000003,432600.0
6.312,10.58,20.200000000000003,445200.0
6.114,14.98,20.200000000000003,401100.0
5.905,11.450000000000001,20.200000000000003,432600.0
5.454,18.06,20.1,319200.0
5.414,23.97,20.1,147000.0
5.093,29.68,20.1,170100.0
5.9830000000000005,18.07,20.1,285600.0
5.9830000000000005,13.35,20.1,422100.0
5.707,12.01,19.200000000000003,457800.0
5.926,13.59,19.200000000000003,514500.0
5.67,17.6,19.200000000000003,485100.0
5.39,21.14,19.200000000000003,413700.0
5.7940000000000005,14.100000000000001,19.200000000000003,384300.0
6.019,12.92,19.200000000000003,445200.0
5.569,15.100000000000001,19.200000000000003,367500.0
6.027,14.33,19.200000000000003,352800.0
6.593,9.67,21.0,470400.0
6.12,9.08,21.0,432600.0
6.976,5.64,21.0,501900.0
6.7940000000000005,6.48,21.0,462000.0
6.03,7.88,21.0,249900.0
